"samples","group","timepoint","replicate"
"SKA03_16","infected",4,"infected_1"
"SKA03_19","infected",4,"infected_2"
"SKA03_20","infected",4,"infected_3"
"SKA03_27","infected",12,"infected_1"
"SKA03_28","infected",12,"infected_2"
"SKA03_29","infected",12,"infected_3"
"SKA03_36","infected",48,"infected_1"
"SKA03_38","infected",48,"infected_2"
"SKA03_39","infected",48,"infected_3"
"SKA03_41","mock",4,"mock_1"
"SKA03_43","mock",4,"mock_2"
"SKA03_45","mock",4,"mock_3"
"SKA03_46","mock",12,"mock_1"
"SKA03_48","mock",12,"mock_2"
"SKA03_49","mock",12,"mock_3"
"SKA03_56","mock",48,"mock_1"
"SKA03_58","mock",48,"mock_2"
"SKA03_59","mock",48,"mock_3"
